X,Y,Z
-0.06288500,0.14950000,-0.02006700
-0.06589700,0.14783201,-0.02798000
-0.03015400,0.15715601,-0.01103900
-0.03446200,0.15461700,-0.00886900
-0.06437100,0.13986599,-0.00735400
-0.06285600,0.16311499,-0.05905900
-0.01981800,0.15871400,-0.00970400
-0.02864000,0.15497901,-0.00657700
-0.06652900,0.14928301,-0.03375400
-0.06548000,0.14655299,-0.02191200
-0.06643700,0.15365700,-0.04863600
-0.00997800,0.17299700,-0.02791800
-0.03531800,0.15366399,-0.00782600
-0.02045700,0.15975100,-0.01206800
-0.06147000,0.16583300,-0.05902700
-0.02489700,0.16335900,-0.01568000
-0.06328700,0.15120199,-0.02957400
-0.02006500,0.16439800,-0.01703900
-0.02690100,0.15569399,-0.00718800
-0.04322200,0.14748600,-0.00120600
-0.03272100,0.15434100,-0.00788300
-0.06573900,0.14256400,-0.01015000
-0.06541700,0.15459400,-0.04495800
-0.02161000,0.15805700,-0.00899800
-0.04302900,0.14835100,-0.00306300
-0.01769300,0.16243500,-0.01549300
-0.06493300,0.14514200,-0.01603400
-0.06437400,0.14527500,-0.01513700
-0.03617300,0.15271901,-0.00677500
-0.06685600,0.15192799,-0.04489400
-0.01947500,0.16059200,-0.01330700
-0.02419000,0.16055900,-0.01363600
-0.04389900,0.14848500,-0.00356500
-0.06454500,0.15613700,-0.04427800
-0.06454600,0.14897500,-0.02804800
-0.04100300,0.14849401,-0.00071500
-0.06425400,0.15441801,-0.03975400
-0.06862000,0.14967400,-0.03934900
-0.02388800,0.15669701,-0.00604700
-0.06116500,0.16835900,-0.06068700
-0.01761900,0.16128600,-0.01405300
-0.01027500,0.17054400,-0.02617900
-0.02224400,0.15902400,-0.01141300
-0.07021900,0.14698400,-0.02665900
-0.04596100,0.14905800,-0.00404900
-0.07116800,0.14927800,-0.03910400
-0.03704600,0.15285400,-0.00726700
-0.02345500,0.16159800,-0.01452800
-0.00948100,0.17418300,-0.02855300
-0.02586700,0.15654700,-0.00846800
-0.05246200,0.13989900,0.00024300
-0.06919700,0.14513400,-0.02040300
-0.07201500,0.14524400,-0.01821600
-0.01079100,0.16503400,-0.01924500
-0.06409100,0.15869600,-0.05462400
-0.06631900,0.15016700,-0.03566500
-0.02576900,0.15856400,-0.01175000
-0.07037800,0.14907600,-0.03864900
-0.01485700,0.16397700,-0.01745900
-0.06516400,0.14735700,-0.02393300
-0.02935900,0.15815000,-0.01199300
-0.06440200,0.14684901,-0.01997500
-0.06230400,0.14264099,-0.00633900
-0.05379200,0.14150999,-0.00113800
-0.02938600,0.15500399,-0.00725700
-0.06237700,0.16713700,-0.06081500
-0.06857900,0.14778601,-0.03114700
-0.03135300,0.15866700,-0.01258400
-0.01008100,0.16811800,-0.02361300
-0.03466900,0.15584999,-0.01014400
-0.03625400,0.15384100,-0.00824100
-0.06904900,0.15311800,-0.04850400
-0.03646100,0.15510200,-0.00949500
-0.01060200,0.17192499,-0.02719800
-0.06292700,0.15000500,-0.02333900
-0.06265000,0.15338200,-0.03187100
-0.01894300,0.16404200,-0.01691500
-0.06646200,0.14570500,-0.02066800
-0.04084400,0.15260200,-0.00723100
-0.01106100,0.16843700,-0.02380400
-0.06383800,0.16340899,-0.05926500
-0.03773200,0.15023400,-0.00179900
-0.01130600,0.16973899,-0.02495000
-0.02498100,0.15955999,-0.01269400
-0.06554200,0.14505500,-0.01690300
-0.01512200,0.16097701,-0.01226600
-0.06497700,0.14143699,-0.00794300
-0.01860200,0.16044401,-0.01282100
-0.06578500,0.14573300,-0.01989500
-0.02763700,0.15895800,-0.01253900
-0.01321200,0.16808300,-0.02250700
-0.05519600,0.13806900,-0.00309700
-0.07176700,0.14606500,-0.02136000
-0.06322200,0.14117600,-0.00698700
-0.06555700,0.15880400,-0.05591500
-0.06385600,0.14852400,-0.02392100
-0.04395600,0.14748199,-0.00189600
-0.06846700,0.14089400,-0.00832200
-0.06812800,0.14637899,-0.02511500
-0.02086500,0.16338100,-0.01610400
-0.01525700,0.16646700,-0.01997800
-0.04782200,0.14834701,-0.00331400
-0.04522600,0.15011901,-0.00491500
-0.03387200,0.15688001,-0.01106600
-0.04742000,0.14582200,-0.00077700
-0.04942500,0.14412899,0.00171000
-0.03877700,0.15206100,-0.00669700
-0.03100500,0.15619799,-0.01000400
-0.01288500,0.16454600,-0.01839500
-0.01703300,0.16465700,-0.01777400
-0.02753700,0.15671700,-0.00957400
-0.06585200,0.14423700,-0.01488100
-0.06835400,0.15201899,-0.04624600
-0.02166600,0.16235000,-0.01517800
-0.04538700,0.14592899,0.00156500
-0.06336500,0.13963600,-0.00706600
-0.06469900,0.15061601,-0.03275500
-0.06951700,0.14123200,-0.00845800
-0.06493600,0.14669999,-0.02094600
-0.06788800,0.14570400,-0.02212700
-0.01789600,0.16368601,-0.01675700
-0.06166500,0.14445500,-0.00523000
-0.02927400,0.15700300,-0.01055800
-0.06399400,0.15267900,-0.03522100
-0.06950900,0.15135500,-0.04471200
-0.01386800,0.16370600,-0.01717100
-0.01160500,0.17110300,-0.02600000
-0.06236200,0.16436000,-0.05957900
-0.06351500,0.16200399,-0.05832000
-0.03977600,0.15229300,-0.00702100
-0.04055600,0.14916500,-0.00293100
-0.03454800,0.15253100,-0.00560400
-0.00876400,0.17160000,-0.02629700
-0.01457200,0.16869199,-0.02223300
-0.04222400,0.14829600,-0.00246000
-0.01683600,0.16339400,-0.01653300
-0.01427200,0.16729000,-0.02121500
-0.06548000,0.15216300,-0.03833000
-0.06863400,0.15118501,-0.04424500
-0.04832600,0.14990599,-0.00403100
-0.06091500,0.16979501,-0.06086900
-0.06532500,0.14004700,-0.00770500
-0.06502200,0.15680300,-0.05194900
-0.06610500,0.15104100,-0.03757400
-0.06243900,0.16285001,-0.05483100
-0.03725500,0.15408200,-0.00855900
-0.05388700,0.13990501,-0.00121700
-0.01289900,0.16564099,-0.01992400
-0.05006400,0.14299101,0.00242700
-0.05104700,0.13989200,0.00172000
-0.02315600,0.15813600,-0.01027800
-0.04469700,0.14748400,-0.00259500
-0.01489300,0.16180900,-0.01433900
-0.04270700,0.15189400,-0.00649300
-0.01303400,0.16680101,-0.02129100
-0.04568100,0.14662600,-0.00135700
-0.03798300,0.15306200,-0.00765500
-0.06554400,0.15512399,-0.04812500
-0.04593700,0.14579201,0.00060100
-0.03216000,0.15342900,-0.00535900
-0.03790000,0.15190600,-0.00621800
-0.02061800,0.15880600,-0.01028300
-0.04310200,0.14950199,-0.00451300
-0.01224300,0.16889399,-0.02374900
-0.06182100,0.16448900,-0.05866900
-0.03363600,0.15343601,-0.00674700
-0.05091900,0.14144500,0.00173500
-0.03018300,0.15505099,-0.00785900
-0.06741600,0.14988799,-0.03759700
-0.06660000,0.15275000,-0.04681700
-0.06521700,0.14432199,-0.01408100
-0.02225900,0.16010299,-0.01294500
-0.02259400,0.15722901,-0.00763600
-0.06801500,0.14978100,-0.03847100
-0.04051000,0.15125801,-0.00613600
-0.04154300,0.14832599,-0.00168400
-0.02402600,0.15827700,-0.01077000
-0.03987500,0.14919400,-0.00215100
-0.01815600,0.16500500,-0.01791500
-0.01387700,0.16481200,-0.01868800
-0.04935800,0.14626800,-0.00147600
-0.03678800,0.15648100,-0.01054300
-0.06663600,0.15088101,-0.03855000
-0.06371600,0.15098600,-0.03064000
-0.01090900,0.16721100,-0.02249600
-0.04267700,0.14763001,-0.00024400
-0.06588400,0.15336300,-0.04439500
-0.06715900,0.15263399,-0.04769600
-0.03825200,0.15435800,-0.00883500
-0.03444200,0.15352000,-0.00733600
-0.07082600,0.14483500,-0.01820100
-0.03382400,0.15256900,-0.00489300
-0.02717400,0.16132800,-0.01451500
-0.04157200,0.15154900,-0.00635500
-0.06961200,0.15035400,-0.04301000
-0.06622300,0.14502600,-0.01768100
-0.03875700,0.15094800,-0.00516800
-0.04569600,0.14770100,-0.00292700
-0.01676400,0.16221800,-0.01511300
-0.06810300,0.15285601,-0.04815500
-0.06387100,0.15469000,-0.03859000
-0.06502500,0.15635100,-0.04870200
-0.03190900,0.15423900,-0.00732000
-0.04572800,0.15167700,-0.00565300
-0.06548700,0.14344300,-0.01208100
-0.06646000,0.15220401,-0.04373500
-0.06402500,0.15967999,-0.05625600
-0.01415400,0.16182700,-0.01362000
-0.01484700,0.16286500,-0.01594200
-0.06436400,0.15347300,-0.03802200
-0.06458600,0.14437300,-0.01321800
-0.04769900,0.14461499,0.00435300
-0.06415700,0.15075301,-0.03179000
-0.06666300,0.14431700,-0.01546800
-0.06147000,0.16695599,-0.06045300
-0.01186600,0.16532600,-0.01972700
-0.07036900,0.14407299,-0.01547700
-0.06413700,0.14615300,-0.01699100
-0.06639500,0.14033400,-0.00790500
-0.06281900,0.16200399,-0.05763100
-0.06523900,0.15046699,-0.03372200
-0.05108300,0.14545700,-0.00090700
-0.01797700,0.15947001,-0.01039300
-0.02404800,0.15936901,-0.01229300
-0.02975100,0.15426300,-0.00514500
-0.06788300,0.14776500,-0.03038900
-0.04499300,0.15273599,-0.00651700
-0.06334200,0.14558800,-0.01311300
-0.00964800,0.17154600,-0.02707400
-0.06474600,0.14341500,-0.01140100
-0.05014700,0.14525899,-0.00051500
-0.01691700,0.16018000,-0.01177400
-0.02796200,0.15500900,-0.00579900
-0.06232300,0.13933299,-0.00679700
-0.02489900,0.15841700,-0.01125900
-0.05173800,0.13992800,0.00099400
-0.06508200,0.14882199,-0.02901700
-0.06361600,0.14365400,-0.00954100
-0.03109800,0.15415201,-0.00673400
-0.05312800,0.13824099,-0.00076500
-0.06528600,0.15549999,-0.04677900
-0.06312900,0.14490600,-0.01011900
-0.00997000,0.17577900,-0.02920700
-0.02790200,0.16026101,-0.01369400
-0.06321500,0.14764699,-0.01640200
-0.02493900,0.15738399,-0.00964100
-0.03795000,0.15088101,-0.00456700
-0.06405400,0.14915200,-0.02699400
-0.04336400,0.15082900,-0.00565800
-0.06562600,0.15567000,-0.05120000
-0.06850600,0.14206600,-0.00982800
-0.02413200,0.15730201,-0.00905600
-0.06880700,0.15027399,-0.04242800
-0.01589000,0.16098499,-0.01308800
-0.06117800,0.16722600,-0.05927200
-0.04835500,0.14601800,-0.00117300
-0.06923800,0.14962900,-0.04021100
-0.04669600,0.14798599,-0.00319700
-0.07376700,0.06804200,0.02384300
-0.06891700,0.07175300,0.03568100
-0.06475400,0.06823100,0.03433800
-0.05077600,0.07154800,0.03977200
-0.07733600,0.10560800,0.03417800
-0.06056900,0.07279000,0.04010900
-0.08201500,0.11088600,0.04320000
-0.05509300,0.06859500,0.03785000
-0.08064900,0.11029200,0.04220400
-0.06003500,0.06454000,0.03151700
-0.08899900,0.11248000,0.03678000
-0.07230200,0.11142800,0.04674400
-0.07788000,0.07109400,0.02209300
-0.08710200,0.11151600,0.03976600
-0.07071300,0.07217700,0.03492900
-0.05926500,0.05992100,0.02159900
-0.06022800,0.05999200,0.02131100
-0.06118000,0.06011600,0.02100500
-0.06213200,0.06025700,0.02069800
-0.06303100,0.06047200,0.02032400
-0.06399200,0.06057200,0.02003200
-0.06490500,0.06076400,0.01966700
-0.06580400,0.06099000,0.01929200
-0.06667000,0.06127400,0.01886500
-0.06758700,0.06145500,0.01850600
-0.06846400,0.06172100,0.01807900
-0.06932100,0.06202000,0.01764800
-0.07015800,0.06234700,0.01720900
-0.07093400,0.06279400,0.01665500
-0.07171500,0.06324500,0.01609700
-0.07237500,0.06387800,0.01543300
-0.07293800,0.06468700,0.01461800
-0.07360100,0.06543300,0.01378400
-0.07433800,0.06594100,0.01317500
-0.07500800,0.06657700,0.01249100
-0.07565600,0.06722100,0.01181300
-0.07632400,0.06790800,0.01106100
-0.07696400,0.06864700,0.01025100
-0.07762700,0.06928600,0.00957600
-0.07837900,0.06982400,0.00895000
-0.07971000,0.07112000,0.00752500
-0.08911700,0.11284000,0.04003200
-0.07455500,0.06844300,0.02334300
-0.06490900,0.06918000,0.03524300
-0.06631000,0.07594100,0.03970200
-0.08064900,0.10968000,0.03912900
-0.07468000,0.11013100,0.04368700
-0.06851600,0.06699700,0.02936000
-0.06691300,0.07046600,0.03546300
-0.05465500,0.06568500,0.03518100
-0.08776900,0.11369200,0.02891500
-0.07856700,0.07166000,0.02146300
-0.05683400,0.06664200,0.03564700
